,dt,temperature,humidity
321,2023-05-25 17:29:39.830119+02:00,16.7,67.6
322,2023-05-25 17:30:39.977045+02:00,16.7,67.1
323,2023-05-25 17:31:39.978711+02:00,16.7,66.8
324,2023-05-25 17:32:39.992169+02:00,16.7,66.6
325,2023-05-25 17:33:40.057147+02:00,16.7,66.4
326,2023-05-25 17:34:40.070998+02:00,16.7,66.3
327,2023-05-25 17:35:40.189475+02:00,16.7,66.2
328,2023-05-25 17:36:40.222895+02:00,16.7,66.2
329,2023-05-25 17:37:40.368348+02:00,16.7,66.2
330,2023-05-25 17:38:40.409306+02:00,16.7,66.1
331,2023-05-25 17:39:40.340404+02:00,16.7,66.0
332,2023-05-25 17:40:40.421291+02:00,16.7,65.9
333,2023-05-25 17:41:40.448404+02:00,16.7,65.9
334,2023-05-25 17:42:40.498805+02:00,16.7,65.9
335,2023-05-25 17:43:40.564153+02:00,16.7,65.9
336,2023-05-25 17:44:40.545402+02:00,16.7,65.9
337,2023-05-25 17:45:40.680800+02:00,16.8,66.0
338,2023-05-25 17:46:40.632209+02:00,17.0,65.4
339,2023-05-25 17:47:40.693231+02:00,17.2,64.9
340,2023-05-25 17:48:41.189992+02:00,17.4,64.3
341,2023-05-25 17:49:41.024227+02:00,17.6,63.9
342,2023-05-25 17:50:40.909547+02:00,17.7,63.4
343,2023-05-25 17:51:41.020175+02:00,17.8,63.1
344,2023-05-25 17:52:40.991490+02:00,18.0,62.9
345,2023-05-25 17:53:41.015686+02:00,18.1,62.7
346,2023-05-25 17:54:41.097609+02:00,18.2,62.8
347,2023-05-25 17:55:41.100315+02:00,18.3,63.7
348,2023-05-25 17:56:41.150563+02:00,18.5,64.8
349,2023-05-25 17:57:41.240278+02:00,18.6,66.0
350,2023-05-25 17:58:41.288493+02:00,18.6,67.0
351,2023-05-25 17:59:41.261363+02:00,18.7,68.3
352,2023-05-25 18:00:41.360200+02:00,18.8,69.5
353,2023-05-25 18:01:41.392636+02:00,18.9,70.9
354,2023-05-25 18:02:41.769388+02:00,19.0,72.4
355,2023-05-25 18:03:41.482120+02:00,19.1,73.5
356,2023-05-25 18:04:41.624981+02:00,19.1,74.8
357,2023-05-25 18:05:41.574047+02:00,19.2,76.2
358,2023-05-25 18:06:41.742711+02:00,19.2,77.7
359,2023-05-25 18:07:41.711139+02:00,19.3,79.1
360,2023-05-25 18:08:41.870730+02:00,19.4,80.5
361,2023-05-25 18:09:41.866872+02:00,19.4,81.7
362,2023-05-25 18:10:41.981229+02:00,19.4,82.9
363,2023-05-25 18:11:41.980696+02:00,19.5,84.2
364,2023-05-25 18:12:42.075813+02:00,19.5,85.4
365,2023-05-25 18:13:42.039935+02:00,19.5,86.4
366,2023-05-25 18:14:42.105116+02:00,19.6,87.6
367,2023-05-25 18:15:42.242983+02:00,19.7,88.7
368,2023-05-25 18:16:42.240723+02:00,19.7,89.4
369,2023-05-25 18:17:42.348074+02:00,19.7,90.1
370,2023-05-25 18:18:42.346316+02:00,19.7,90.5
371,2023-05-25 18:19:42.338551+02:00,19.8,90.9
372,2023-05-25 18:20:42.520427+02:00,19.8,91.2
373,2023-05-25 18:21:42.460893+02:00,19.8,91.6
374,2023-05-25 18:22:42.773105+02:00,19.9,92.0
375,2023-05-25 18:23:42.586831+02:00,19.8,89.3
376,2023-05-25 18:24:42.587140+02:00,19.7,81.1
377,2023-05-25 18:25:42.602344+02:00,19.7,75.7
378,2023-05-25 18:26:42.662182+02:00,19.5,71.9
379,2023-05-25 18:27:42.712551+02:00,19.5,69.6
380,2023-05-25 18:28:42.830171+02:00,19.4,67.8
381,2023-05-25 18:29:42.850962+02:00,19.4,66.7
382,2023-05-25 18:30:42.929759+02:00,19.3,65.8
383,2023-05-25 18:31:45.630013+02:00,19.3,65.2
384,2023-05-25 18:32:43.022880+02:00,19.3,64.8
385,2023-05-25 18:33:43.085488+02:00,19.3,64.5
386,2023-05-25 18:34:43.188137+02:00,19.3,64.1
387,2023-05-25 18:35:43.259586+02:00,19.3,64.0
388,2023-05-25 18:36:43.391837+02:00,19.3,63.9
389,2023-05-25 18:37:43.349183+02:00,19.3,63.8
390,2023-05-25 18:38:43.354164+02:00,19.3,63.7
391,2023-05-25 18:39:43.435503+02:00,19.3,63.7
392,2023-05-25 18:40:43.475367+02:00,19.3,63.7
393,2023-05-25 18:41:43.631566+02:00,19.3,63.8
394,2023-05-25 18:42:43.572606+02:00,19.3,64.0
395,2023-05-25 18:43:43.653447+02:00,19.3,63.8
396,2023-05-25 18:44:43.666843+02:00,19.3,63.9
397,2023-05-25 18:45:43.761426+02:00,19.3,63.9
398,2023-05-25 18:46:43.785820+02:00,19.3,63.8
399,2023-05-25 18:47:43.882520+02:00,19.3,63.8
400,2023-05-25 18:48:43.972996+02:00,19.3,63.9
401,2023-05-25 18:49:44.075035+02:00,19.3,63.9
402,2023-05-25 18:50:44.089954+02:00,19.3,63.9
403,2023-05-25 18:51:44.087787+02:00,19.3,63.8
404,2023-05-25 18:52:44.116662+02:00,19.3,63.8
405,2023-05-25 18:53:44.164841+02:00,19.3,63.8
406,2023-05-25 18:54:44.202308+02:00,19.3,63.8
407,2023-05-25 18:55:44.236721+02:00,19.3,64.7
408,2023-05-25 18:56:44.267580+02:00,19.4,66.4
409,2023-05-25 18:57:44.373262+02:00,19.4,68.0
410,2023-05-25 18:58:44.443358+02:00,19.5,69.6
411,2023-05-25 18:59:44.636098+02:00,19.6,71.2
412,2023-05-25 19:00:44.607334+02:00,19.6,72.7
413,2023-05-25 19:01:44.569586+02:00,19.7,74.1
414,2023-05-25 19:02:44.770181+02:00,19.7,75.4
415,2023-05-25 19:03:44.721441+02:00,19.8,77.0
